TR:BT20:CellLine,TR:EGF,TR:FGF1,TR:HGF,TR:IGF1,TR:INSULIN,TR:NRG1,TR:SERUM,TR:AKT_pT308i,TR:MEK1_pS217_S221i,DA:ALL,DV:4EBP1_pS65,DV:AKT_pS473,DV:AKT_pT308,DV:BAD_pS112,DV:c-JUN_pS73,DV:c-Met_pY1235,DV:c-Raf_pS338,DV:EGFR_pY992,DV:ER-alpha_pS118,DV:GSK3-alpha-beta_pS21_S9,DV:GSK3-alpha-beta_pS9,DV:HER2_pY1248,DV:HER3_pY1298,DV:JNK_pT183_pT185,DV:MAPK_pT202_Y204,DV:MEK1_pS217_S221,DV:mTOR_pS2448,DV:p70S6K_pT389,DV:p90RSK_pT359_S363,DV:PKC-alpha_pS657,DV:Rb_pS807_S811,DV:Src_pY416,DV:STAT3_pY705,DA:4EBP1_pS65,DA:AKT_pS473,DA:AKT_pT308,DA:BAD_pS112,DA:c-JUN_pS73,DA:c-Met_pY1235,DA:c-Raf_pS338,DA:EGFR_pY992,DA:ER-alpha_pS118,DA:GSK3-alpha-beta_pS21_S9,DA:GSK3-alpha-beta_pS9,DA:HER2_pY1248,DA:HER3_pY1298,DA:JNK_pT183_pT185,DA:MAPK_pT202_Y204,DA:MEK1_pS217_S221,DA:mTOR_pS2448,DA:p70S6K_pT389,DA:p90RSK_pT359_S363,DA:PKC-alpha_pS657,DA:Rb_pS807_S811,DA:Src_pY416,DA:STAT3_pY705
1,0,0,0,0,0,0,0,0,0,0,0.6035727039,0.1354061484,0.1846520886,0.5978042535,0.3197228616,0.5204135524,0.4678139437,0.3966677962,0.9209362995,0.5736277161,0.6304364779,0.217637747,0.3000416967,0.5111599609,0.1909341452,0.1290035835,0.6648035726,0.4282793262,0.4270094569,0.7418618471,0.6387547838,0.5232718611,0.8045163351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,5,0.8139220868,0.1992998508,0.1980520321,0.5814195898,0.2491915489,0.4261486231,0.4894241058,0.3057244251,0.7511884048,0.6552757527,0.6668324987,0.2607337893,0.2388122855,0.4228195008,0.1426840732,0.0945285106,0.7271312587,0.3862556785,0.3390658377,0.6705318162,0.8518204227,0.3845926482,0.5662087801,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,0,0,0,0,0,0,0,0,0,15,0.7851352702,0.1787406349,0.2070334191,0.5962140178,0.2862843589,0.4797065384,0.4902293865,0.3228504865,0.8233848564,0.5968908292,0.6049418537,0.2396345467,0.2648276028,0.44787823,0.1667118053,0.0882562104,0.6842095461,0.3576997056,0.433878785,0.7453688088,0.8717314678,0.4175398814,0.5996506518,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,0,0,0,0,0,0,0,0,0,30,0.6642598694,0.2062123384,0.2516778741,0.6204264036,0.3139835373,0.5601024247,0.500789126,0.3800075903,0.8787219049,0.6320383182,0.6727980732,0.2474799661,0.2902784767,0.5528671816,0.2054755416,0.1086329764,0.6679588743,0.4230419186,0.4770711812,0.8383764937,0.6627864825,0.4347247987,0.7321087026,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1,0,0,0,0,0,0,0,0,0,60,0.711039764,0.171117745,0.1933787607,0.6502597824,0.3230529659,0.509556442,0.4187708959,0.3425233554,0.9590809898,0.6174501339,0.6704199866,0.2489074008,0.2850410534,0.4714226597,0.1729617821,0.0884477925,0.6054795541,0.4078005666,0.4355322956,0.7096390948,0.6824774672,0.3827394689,0.6729107648,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
1,0,0,0,0,0,0,0,0,0,120,0.5015067559,0.157854268,0.1957101521,0.5809791171,0.3341481295,0.6037359527,0.6063156736,0.4440285102,0.9008240727,0.5508160841,0.5632149568,0.220186748,0.3012944827,0.5331423466,0.164602982,0.0743431338,0.6799102899,0.4362766795,0.5379799489,0.9052302746,0.6302728716,0.4879922434,0.7958219546,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
1,0,0,0,0,0,0,0,0,0,240,0.5350363167,0.1910984609,0.2474814621,0.5829661025,0.3265448191,0.6192694279,0.5818230988,0.4157830395,0.9136901176,0.5798971949,0.6205712801,0.2388872119,0.3227463499,0.5850718379,0.1870606298,0.0909350791,0.7555187186,0.4561525751,0.5442294113,0.9338728404,0.6276486439,0.5473901973,0.8430778263,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
1,0,0,0,0,1,0,0,1,0,0,0.6035727039,0.1354061484,0.1846520886,0.5978042535,0.3197228616,0.5204135524,0.4678139437,0.3966677962,0.9209362995,0.5256347672,0.6304364779,0.217637747,0.3000416967,0.5111599609,0.1909341452,0.1290035835,0.6648035726,0.4282793262,0.4270094569,0.7418618471,0.6387547838,0.5232718611,0.8045163351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,1,0,5,0.4810604116,0.3779855436,0.3473894963,0.577599483,0.3580866264,0.5368315069,0.4946625273,0.3625029356,0.876557055,0.353333937,0.4113231687,0.2377518122,0.3101411103,0.6117331672,0.1921072995,0.0802804298,0.732177202,0.4262028035,0.4881289604,0.7750627149,0.5642481942,0.4615446301,0.8269905024,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,0,0,0,0,1,0,0,1,0,15,0.4402957638,0.3849398811,0.3566664824,0.5448088255,0.3408099657,0.5396230406,0.5079313553,0.3571243219,0.9736219928,0.3844738907,0.4415761196,0.2476561849,0.3379770346,0.5689028306,0.2032474342,0.0902565896,0.732443045,0.3252583247,0.4569936277,0.8153751822,0.6196105771,0.5013393952,0.798403468,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
