TR:BT549:CellLine,TR:EGF,TR:FGF1,TR:HGF,TR:IGF1,TR:INSULIN,TR:NRG1,TR:SERUM,TR:AKT_pT308i,DA:ALL,DV:4EBP1_pS65,DV:AKT_pS473,DV:AKT_pT308,DV:BAD_pS112,DV:c-Met_pY1235,DV:c-Raf_pS338,DV:ER-alpha_pS118,DV:GSK3-alpha-beta_pS21_S9,DV:GSK3-alpha-beta_pS9,DV:HER2_pY1248,DV:HER3_pY1298,DV:JNK_pT183_pT185,DV:MAPK_pT202_Y204,DV:MEK1_pS217_S221,DV:mTOR_pS2448,DV:p70S6K_pT389,DV:p90RSK_pT359_S363,DV:Rb_pS807_S811,DV:Src_pY416,DV:STAT3_pY705,DA:4EBP1_pS65,DA:AKT_pS473,DA:AKT_pT308,DA:BAD_pS112,DA:c-Met_pY1235,DA:c-Raf_pS338,DA:ER-alpha_pS118,DA:GSK3-alpha-beta_pS21_S9,DA:GSK3-alpha-beta_pS9,DA:HER2_pY1248,DA:HER3_pY1298,DA:JNK_pT183_pT185,DA:MAPK_pT202_Y204,DA:MEK1_pS217_S221,DA:mTOR_pS2448,DA:p70S6K_pT389,DA:p90RSK_pT359_S363,DA:Rb_pS807_S811,DA:Src_pY416,DA:STAT3_pY705
1,0,0,0,0,0,0,0,0,0,0.6134434491,0.3204814567,0.4199008994,0.7063129264,0.4783750247,0.3598044924,0.7763920952,0.5024594698,0.5648992209,0.2104704344,0.6491951717,0.6608566935,0.2944714268,0.3571275502,0.6095369983,0.476587594,0.8161967572,0.6148986434,0.3088508638,0.7728989325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,5,0.5256934922,0.2701861732,0.2858820738,0.5550476009,0.456426607,0.4311505119,0.7278642164,0.4714256844,0.5996462655,0.1778146746,0.6334630677,0.6112044309,0.197991326,0.3243988269,0.7010373075,0.5916402114,0.7505967363,0.6026495499,0.3209823312,0.7234794919,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,0,0,0,0,0,0,0,0,15,0.6187585559,0.2773388577,0.29477717,0.5702819964,0.4160885209,0.3877261217,0.794016122,0.5216224603,0.5991473631,0.1700476279,0.6104883927,0.50486805,0.1604178035,0.3054592346,0.6906759689,0.5842169296,0.7021066215,0.5316577654,0.3254406888,0.5829781785,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,0,0,0,0,0,0,0,0,30,0.6007510153,0.2652481882,0.3261992482,0.5634016858,0.4277844502,0.4053431409,0.7764911244,0.4738419714,0.5931793091,0.1809760363,0.6384498352,0.5666862394,0.2110532733,0.3296944111,0.6278748492,0.483329252,0.7558515484,0.5687128541,0.3049409261,0.6431638127,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1,0,0,0,0,0,0,0,0,60,0.5890209079,0.3298549612,0.318562582,0.5751085034,0.4257184821,0.4326863875,0.7798737574,0.4836745359,0.607149979,0.1712793591,0.6089535282,0.5561352968,0.2163392639,0.3195782567,0.6825315513,0.5100571058,0.7296115884,0.5657135105,0.3265574117,0.653775912,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
1,0,0,0,0,0,0,0,0,120,0.4957129887,0.2753628963,0.3454515754,0.5880784498,0.4867212409,0.5712758479,0.8048609849,0.5183832343,0.5366267241,0.1888048058,0.6990303031,0.5670054687,0.1874992911,0.2881837854,0.7378181165,0.5412722195,0.8505506926,0.6011954959,0.3716939275,0.7386556648,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
1,0,0,0,0,0,0,0,0,240,0.6174363715,0.3114833625,0.3705352216,0.558145526,0.4764848191,0.5916492137,0.7920913575,0.5553585947,0.5513055892,0.1846788533,0.7048943091,0.5491192025,0.1898521333,0.3224557885,0.7274734053,0.527741233,0.8506574261,0.598690561,0.3234637537,0.6989046219,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
1,0,0,0,0,0,0,0,1,0,0.4910152746,0.6115627904,0.857182328,0.5248597654,0.6131765203,0.5161633617,0.8969891096,0.3564722214,0.3936596313,0.1794456533,0.7668123757,0.5567937001,0.1673832638,0.3381572952,0.5705030746,0.3807506898,0.8159828173,0.684894162,0.2971552542,0.6415564536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,5,0.604343051,0.5977674371,0.6318757147,0.4998526516,0.4712731191,0.3315840121,0.8070362757,0.3198418619,0.4147012223,0.1777681879,0.7047673941,0.5879795311,0.1969508203,0.3560276445,0.5441224192,0.5150796859,0.8644156862,0.6358370118,0.3158508116,0.7220957509,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,0,0,0,0,0,0,0,1,15,0.5399390934,0.5304877132,0.5698664809,0.4881417947,0.476055277,0.4005967752,0.7892563611,0.2902623872,0.398933705,0.1737096509,0.6846646911,0.5557118723,0.1668596108,0.3506028824,0.7175982512,0.4522995295,0.7917560644,0.5779132697,0.3438484956,0.6575862065,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
