TR:MCF7:CellLine,TR:EGF,TR:FGF1,TR:HGF,TR:IGF1,TR:INSULIN,TR:NRG1,TR:SERUM,TR:AKT_pT308i,TR:MEK1_pS217_S221i,DV:4EBP1_pS65,DV:AKT_pS473,DV:AKT_pT308,DV:BAD_pS112,DV:c-JUN_pS73,DV:c-Met_pY1235,DV:c-Raf_pS338,DV:EGFR_pY992,DV:ER-alpha_pS118,DV:GSK3-alpha-beta_pS21_S9,DV:GSK3-alpha-beta_pS9,DV:HER2_pY1248,DV:JNK_pT183_pT185,DV:MAPK_pT202_Y204,DV:MEK1_pS217_S221,DV:mTOR_pS2448,DV:p70S6K_pT389,DV:p90RSK_pT359_S363,DV:PKC-alpha_pS657,DV:Rb_pS807_S811,DV:Src_pY416,DV:STAT3_pY705,DA:4EBP1_pS65,DA:AKT_pS473,DA:AKT_pT308,DA:BAD_pS112,DA:c-JUN_pS73,DA:c-Met_pY1235,DA:c-Raf_pS338,DA:EGFR_pY992,DA:ER-alpha_pS118,DA:GSK3-alpha-beta_pS21_S9,DA:GSK3-alpha-beta_pS9,DA:HER2_pY1248,DA:JNK_pT183_pT185,DA:MAPK_pT202_Y204,DA:MEK1_pS217_S221,DA:mTOR_pS2448,DA:p70S6K_pT389,DA:p90RSK_pT359_S363,DA:PKC-alpha_pS657,DA:Rb_pS807_S811,DA:Src_pY416,DA:STAT3_pY705
1,0,0,0,0,0,0,0,0,0,0.7136192897,0.0100251644,0.0349666069,0.526681938,0.6195769017,0.8867353924,0.3308437654,0.5667940348,0.6734721787,0.4978522996,0.5626171093,0.8446545561,0.4562499366,0.2651633869,0.1965876749,0.8146699856,0.1100314016,0.6397693684,0.8015142656,0.5361538672,0.7142610166,0.8966698952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0.7436693824,0.0086846421,0.0378390738,0.5203393953,0.6839300717,0.8570348155,0.2815063598,0.5657160541,0.5824624562,0.4896922664,0.5280206219,0.7006699174,0.4211029726,0.2788936048,0.2133549688,0.5119402788,0.1405373048,0.6335814665,0.7089097452,0.4835889424,0.7434727579,0.8444404407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0.7260746016,0.068012865,0.0941319094,0.5097364126,0.6263973395,0.849294697,0.338165641,0.553521317,0.7012909986,0.4983051746,0.5625039011,0.8284730911,0.4573588092,0.0768609155,0.126243112,0.7771142397,0.1353571858,0.6126782488,0.8090656758,0.5361679578,0.6755637636,0.87881521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0.7340076727,0.0648669694,0.0904636275,0.5773851576,0.7000137858,0.8853284463,0.3285641684,0.5454974886,0.6520738351,0.4683808043,0.5515568627,0.70123017,0.44652227,0.101132155,0.1540618664,0.5276729127,0.159064664,0.6084745614,0.7052668713,0.4575215843,0.868921718,0.8534568422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0.7251641635,0.068970474,0.1227701546,0.4703929529,0.6395577437,0.8970262857,0.491203825,0.5408407666,0.5863893254,0.4383830385,0.4891378453,0.6297040214,0.436455406,0.4405987902,0.2965639096,0.5781540736,0.1038306362,0.664917086,0.8217498611,0.4651141615,0.7413454167,0.9187521015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0.7504821086,0.0149026557,0.0540475331,0.5399103418,0.6511852873,0.8635553248,0.5051268522,0.6160221664,0.5906913459,0.527571636,0.5532486834,0.6393293023,0.4261343369,0.4265111647,0.2684915773,0.6529394786,0.1193738431,0.6639741286,0.7953710639,0.4718412368,0.7421531732,0.8805797904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0.7367023029,0.0131593204,0.0572819377,0.4948080777,0.6130817637,0.8556035211,0.5850428529,0.5969860779,0.6742508631,0.5181746641,0.5401397944,0.6344024295,0.4423961634,0.3925966207,0.2522083385,0.7364446223,0.1254559914,0.6508761839,0.8758562239,0.4852778348,0.7758496841,0.875291211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0.698410324,0.0801353031,0.1222235123,0.5183693158,0.6412868974,0.9030157517,0.5850253046,0.5561237093,0.584154103,0.4890601194,0.5409669561,0.7807154233,0.4715924187,0.4079141671,0.2682154276,0.5494138687,0.1150750408,0.6738443126,0.7322602357,0.489611004,0.7032738906,0.907128296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0.7718536046,0.0127591613,0.0366718197,0.5151683117,0.5649228628,0.8597509504,0.3139851315,0.4983085977,0.7145903686,0.5242078628,0.5508227114,0.6802560602,0.3885849974,0.2220681748,0.1593466178,0.7771848641,0.1550360815,0.586833774,0.8343878607,0.5053049192,0.8240207892,0.830517838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0.8115193911,0.0091276426,0.035405998,0.5784401222,0.6300229502,0.8457593717,0.2545927268,0.5097290477,0.5652688977,0.470190994,0.4887531777,0.6105432574,0.3656830111,0.2470268918,0.2033893142,0.4034607972,0.1844208007,0.7003849923,0.686496996,0.4504878868,0.7767096559,0.9091782962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
