TR:BT20:CellLine,TR:EGF,TR:FGF1,TR:HGF,TR:IGF1,TR:INSULIN,TR:NRG1,TR:SERUM,TR:AKT_pT308i,TR:MEK1_pS217_S221i,DA:ALL,DV:4EBP1_pS65,DV:AKT_pS473,DV:AKT_pT308,DV:BAD_pS112,DV:c-JUN_pS73,DV:c-Met_pY1235,DV:c-Raf_pS338,DV:EGFR_pY992,DV:ER-alpha_pS118,DV:GSK3-alpha-beta_pS21_S9,DV:GSK3-alpha-beta_pS9,DV:HER2_pY1248,DV:HER3_pY1298,DV:JNK_pT183_pT185,DV:MAPK_pT202_Y204,DV:MEK1_pS217_S221,DV:mTOR_pS2448,DV:p70S6K_pT389,DV:p90RSK_pT359_S363,DV:PKC-alpha_pS657,DV:Rb_pS807_S811,DV:Src_pY416,DV:STAT3_pY705,DA:4EBP1_pS65,DA:AKT_pS473,DA:AKT_pT308,DA:BAD_pS112,DA:c-JUN_pS73,DA:c-Met_pY1235,DA:c-Raf_pS338,DA:EGFR_pY992,DA:ER-alpha_pS118,DA:GSK3-alpha-beta_pS21_S9,DA:GSK3-alpha-beta_pS9,DA:HER2_pY1248,DA:HER3_pY1298,DA:JNK_pT183_pT185,DA:MAPK_pT202_Y204,DA:MEK1_pS217_S221,DA:mTOR_pS2448,DA:p70S6K_pT389,DA:p90RSK_pT359_S363,DA:PKC-alpha_pS657,DA:Rb_pS807_S811,DA:Src_pY416,DA:STAT3_pY705
1,0,0,0,0,0,0,0,0,0,0,0.4410099697,0.2924096783,0.1649893528,0.4580916716,0.2841115013,0.454364439,0.5342803402,0.3784914048,0.6914892766,0.3790054724,0.6520440776,0.3902095665,0.2375654505,0.3411575376,0.1701304448,0.1502812293,0.3977402679,0.2712243951,0.3810120595,0.595450764,0.5104188789,0.4517233766,0.5027455039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,5,0.5369321159,0.2497161938,0.141531161,0.3725516624,0.1634521085,0.3120202647,0.3232830227,0.2087466472,0.7029856672,0.5399230052,0.6151113561,0.3447811723,0.5479967208,0.4882706537,0.441729887,0.1888976722,0.5200149566,0.3138921192,0.3371944119,0.4844052638,0.6067043282,0.2899807366,0.4720463777,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,0,0,0,0,0,0,0,0,0,15,0.8686140424,0.1980036434,0.198066349,0.5524232765,0.4168039807,0.6086237391,0.4798727801,0.2562392273,0.7933797489,0.4165223117,0.3912089017,0.339637158,0.362386568,0.3309798221,0.3215773435,0.1471914112,0.488490645,0.3193273111,0.4619305091,0.5446193066,0.6541542942,0.3784839205,0.5298470459,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,0,0,0,0,0,0,0,0,0,30,0.5542594785,0.1602737744,0.2394496294,0.4960892708,0.2062485044,0.3546562193,0.3618860983,0.2707393731,0.7284589419,0.4983070135,0.4624946704,0.5489096439,0.2992160809,0.4323778351,0.2053344276,0.2349990694,0.6181913798,0.4106451935,0.3262715556,0.7041680575,0.5875762869,0.3412624543,0.4392555132,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1,0,0,0,0,0,0,0,0,0,60,0.8752299227,0.2915518137,0.3960014926,0.5041840415,0.2553037489,0.4549771099,0.2795981239,0.3586157938,0.8635007947,0.4993140954,0.707934498,0.2620299982,0.1785630639,0.3646424268,0.1438603029,0.4144192838,0.650908451,0.3554884469,0.3041964389,0.423560057,0.4906085905,0.3664234684,0.4197681502,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
1,0,0,0,0,0,0,0,0,0,120,0.4605622065,0.1369151338,0.2500209351,0.5196377129,0.2728889999,0.5730342367,0.4799439386,0.5386783005,0.6936386626,0.4134396525,0.3351318605,0.2895641416,0.5653766581,0.3607941114,0.3822207031,0.1676310051,0.5325622975,0.2660163208,0.4530298767,0.6510422458,0.40569014,0.6263091329,0.5269344378,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
1,0,0,0,0,0,0,0,0,0,240,0.4504358187,0.2374734487,0.3613649303,0.4513912582,0.2174391596,0.4640847899,0.4089710416,0.5417401499,0.671711206,0.426941822,0.559116294,0.1910927612,0.3950990625,0.5025880105,0.3993537396,0.120582099,0.5003935111,0.3303973252,0.4834806472,0.6337932009,0.416063981,0.5305116538,0.5308724278,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
1,0,0,0,0,1,0,0,1,0,0,0.4381945209,0.1021694412,0.1327709036,0.5797452404,0.1937360602,0.3292267478,0.3730758756,0.2863674612,0.8629153768,0.3916341718,0.4279638819,0.1530730347,0.2669717666,0.3434720043,0.278765297,0.1636096212,0.6802799195,0.4558386223,0.2822916268,0.5223581505,0.4270115041,0.3334133233,0.7288106253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,1,0,5,0.3625554853,0.4444035318,0.2170838438,0.5147197487,0.2123338393,0.5346063587,0.3211664319,0.2280611229,0.5259758638,0.4617005681,0.415166231,0.252450244,0.4497821144,0.4173978973,0.1632019451,0.1412378476,0.6411703989,0.4057147469,0.4176793999,0.549009942,0.4009837691,0.3691345153,0.5019528501,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,0,0,0,0,1,0,0,1,0,15,0.6735434199,0.7311382437,0.235690967,0.4950161982,0.7050600695,0.5323181083,0.4109902874,0.4258548922,0.8847382506,0.2465502888,0.3391932188,0.3589656703,0.3805607049,0.4073881832,0.33950617,0.1978981086,0.4584168039,0.3563867799,0.4101099187,0.6071614947,0.4466831406,0.3475858004,0.7655064462,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
