TR:BT549:CellLine,TR:EGF,TR:FGF1,TR:HGF,TR:IGF1,TR:INSULIN,TR:NRG1,TR:SERUM,TR:AKT_pT308i,DA:ALL,DV:4EBP1_pS65,DV:AKT_pS473,DV:AKT_pT308,DV:BAD_pS112,DV:c-Met_pY1235,DV:c-Raf_pS338,DV:ER-alpha_pS118,DV:GSK3-alpha-beta_pS21_S9,DV:GSK3-alpha-beta_pS9,DV:HER2_pY1248,DV:HER3_pY1298,DV:JNK_pT183_pT185,DV:MAPK_pT202_Y204,DV:MEK1_pS217_S221,DV:mTOR_pS2448,DV:p70S6K_pT389,DV:p90RSK_pT359_S363,DV:Rb_pS807_S811,DV:Src_pY416,DV:STAT3_pY705,DA:4EBP1_pS65,DA:AKT_pS473,DA:AKT_pT308,DA:BAD_pS112,DA:c-Met_pY1235,DA:c-Raf_pS338,DA:ER-alpha_pS118,DA:GSK3-alpha-beta_pS21_S9,DA:GSK3-alpha-beta_pS9,DA:HER2_pY1248,DA:HER3_pY1298,DA:JNK_pT183_pT185,DA:MAPK_pT202_Y204,DA:MEK1_pS217_S221,DA:mTOR_pS2448,DA:p70S6K_pT389,DA:p90RSK_pT359_S363,DA:Rb_pS807_S811,DA:Src_pY416,DA:STAT3_pY705
1,0,0,0,0,0,0,0,0,0,0.8757206128,0.1652774426,0.1610209046,0.9970414439,0.5402579074,0.1932110386,0.4530211621,0.4058287148,0.9131527424,0.9231975232,0.6416311677,0.6004812037,0.2347855253,0.1536398309,0.1320108744,0.3130274882,0.1761557806,0.0069025477,0.90481323,0.386794416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,5,0.6351863795,0.4938930385,0.4323768269,0.0043926126,0.7054411916,0.6894351009,0.0101626026,0.4663122206,0.6825178167,0.1528341423,0.7863866436,0.93745076,0.8396572277,0.0289020657,0.1581796303,0.0764394578,0.4311863664,0.7464232004,0.5724163116,0.9934277898,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,0,0,0,0,0,0,0,0,15,0.0972813491,0.5351172675,0.5050860844,0.5426074641,0.0050288833,0.0504550032,0.5990811675,0.9515362181,0.9467334711,0.4057207937,0.2891504932,0.1077585788,0.4955400297,0.0090848985,0.0621470516,0.791415147,0.4756550378,0.7996707942,0.1554612903,0.3263934677,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,0,0,0,0,0,0,0,0,30,0.9084394562,0.1988071598,0.3753322809,0.8613481764,0.7825157788,0.1844341157,0.6015683484,0.9650053058,0.0990890086,0.3124759988,0.4978680107,0.8999814347,0.1523663664,0.596451742,0.7018434789,0.3653839793,0.7852209079,0.9077989411,0.5023674337,0.1371610362,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1,0,0,0,0,0,0,0,0,60,0.0350160215,0.6231689123,0.4803722281,0.9091390245,0.9268595734,0.0456583235,0.649417451,0.7652848668,0.5110289242,0.6938989584,0.818434616,0.5504649912,0.2307681558,0.6090493244,0.0864816971,0.5850993892,0.1306515974,0.9745739354,0.5677328783,0.38475363,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
1,0,0,0,0,0,0,0,0,120,0.0397496941,0.0263153937,0.3424214028,0.8453505623,0.0082956574,0.885041502,0.3427206326,0.5745335902,0.1101283402,0.8906878734,0.5951282925,0.4273566868,0.6579539571,0.918923432,0.6167872396,0.1833367062,0.0513557327,0.1198634911,0.1882717757,0.5626358325,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
1,0,0,0,0,0,0,0,0,240,0.9885678912,0.3187909613,0.7771464401,0.8788728846,0.8246283427,0.8397943858,0.4932992556,0.9159250255,0.5452618773,0.4906709663,0.5364246089,0.1523808304,0.5629483812,0.7335744434,0.1737715832,0.0769189422,0.627506477,0.5189697634,0.3241964635,0.6338354268,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
1,0,0,0,0,0,0,0,1,0,0.6861815985,0.5329995344,0.3839438624,0.7461822377,0.767335868,0.1181552452,0.7017739453,0.4954324088,0.688785899,0.8058235094,0.3308731406,0.2475460025,0.2918287376,0.3011469521,0.6514010647,0.1536627665,0.0290875519,0.8219748117,0.7160373428,0.5416063849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,5,0.3766891927,0.3267737375,0.711556427,0.1174893802,0.9971368953,0.4104148537,0.8878026014,0.1660123771,0.1474169883,0.3264389093,0.4116902263,0.4473687937,0.6223049847,0.495574479,0.498696406,0.8268759902,0.1361946096,0.6370227987,0.5529287086,0.3149934244,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,0,0,0,0,0,0,0,1,15,0.5043242528,0.6021904406,0.4809334074,0.5090222568,0.2276530721,0.12022859,0.0550578462,0.32599767,0.7775610376,0.5498791451,0.7940062407,0.5327834377,0.7159054083,0.2581630235,0.2845106886,0.3009567426,0.6945555987,0.9539103769,0.1422817398,0.1593267234,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
